Province/State,Date,Confirmed,Deaths,Recovered,population,Confirmed per million residents,Deaths per million residents,Recoveries per million residents
Alaska,2020-03-10,0,0,0,731545,0,0,0
Arizona,2020-03-10,6,0,1,7278717,0.8243210994465096,0,0.1373868499077516
Arkansas,2020-03-10,0,0,0,3017804,0,0,0
California,2020-03-10,144,2,2,39512223,3.644441873088234,0.050617248237336585,0.050617248237336585
Colorado,2020-03-10,15,0,0,5758736,2.604738262007496,0,0
Connecticut,2020-03-10,2,0,0,3565287,0.5609646572632161,0,0
Delaware,2020-03-10,0,0,0,973764,0,0,0
District of Columbia,2020-03-10,5,0,0,705749,7.084671745903997,0,0
Florida,2020-03-10,15,2,0,21477737,0.6983976011997912,0.09311968015997216,0
Georgia,2020-03-10,17,0,0,10617423,1.6011418213251936,0,0
Hawaii,2020-03-10,2,0,0,1415872,1.4125570673055192,0,0
Idaho,2020-03-10,0,0,0,1787065,0,0,0
Illinois,2020-03-10,12,0,2,12671821,0.9469830737034559,0,0.15783051228390932
Indiana,2020-03-10,6,0,0,6732219,0.8912366041568166,0,0
Iowa,2020-03-10,8,0,0,3155070,2.5356014288114053,0,0
Kansas,2020-03-10,1,0,0,2913314,0.34325170578935194,0,0
Kentucky,2020-03-10,6,0,0,4467673,1.342981010472342,0,0
Louisiana,2020-03-10,1,0,0,4648794,0.21510955314432087,0,0
Maine,2020-03-10,0,0,0,1344212,0,0,0
Maryland,2020-03-10,8,0,0,6045680,1.323258922073282,0,0
Massachusetts,2020-03-10,92,0,1,6892503,13.34783604736915,0,0.14508517442792554
Michigan,2020-03-10,0,0,0,9986857,0,0,0
Minnesota,2020-03-10,3,0,0,5639632,0.5319496023854039,0,0
Mississippi,2020-03-10,0,0,0,2976149,0,0,0
Missouri,2020-03-10,1,0,0,6137428,0.16293470163723306,0,0
Montana,2020-03-10,0,0,0,1068778,0,0,0
Nebraska,2020-03-10,3,0,0,1934408,1.5508620725307174,0,0
Nevada,2020-03-10,4,0,0,3080156,1.2986355236552953,0,0
New Hampshire,2020-03-10,4,0,0,1359711,2.941801603428964,0,0
New Jersey,2020-03-10,15,1,0,8882190,1.6887727013270375,0.11258484675513585,0
New Mexico,2020-03-10,0,0,0,2096829,0,0,0
New York,2020-03-10,173,0,0,19453561,8.89297337387227,0,0
North Carolina,2020-03-10,7,0,0,10488084,0.6674240976712238,0,0
North Dakota,2020-03-10,0,0,0,762062,0,0,0
Ohio,2020-03-10,3,0,0,11689100,0.2566493570933605,0,0
Oklahoma,2020-03-10,2,0,0,3956971,0.505437113387993,0,0
Oregon,2020-03-10,15,0,0,4217737,3.5564095153396242,0,0
Pennsylvania,2020-03-10,12,0,0,12801989,0.9373543439226514,0,0
Rhode Island,2020-03-10,3,0,0,1059361,2.8318958315437324,0,0
South Carolina,2020-03-10,7,0,0,5148714,1.3595627956806302,0,0
South Dakota,2020-03-10,0,0,0,884659,0,0,0
Tennessee,2020-03-10,7,0,0,6829174,1.0250141525168344,0,0
Texas,2020-03-10,13,0,0,28995881,0.44833954174387736,0,0
Utah,2020-03-10,2,0,0,3205958,0.6238384907101091,0,0
Vermont,2020-03-10,1,0,0,623989,1.602592353390845,0,0
Virginia,2020-03-10,7,0,0,8535519,0.8201024448542613,0,0
Washington,2020-03-10,267,23,1,7614893,35.062869563630116,3.0203970036085863,0.13132160885254723
West Virginia,2020-03-10,0,0,0,1792147,0,0,0
Wisconsin,2020-03-10,3,0,1,5822434,0.5152484339023852,0,0.1717494779674617
Wyoming,2020-03-10,0,0,0,578759,0,0,0
Alaska,2020-03-10,0,0,0,731545,0,0,0
Arizona,2020-03-11,9,0,1,7278717,1.2364816491697643,0,0.1373868499077516
Arkansas,2020-03-11,1,0,0,3017804,0.3313667819381245,0,0
California,2020-03-11,177,3,2,39512223,4.4796264690042875,0.07592587235600487,0.050617248237336585
Colorado,2020-03-11,34,0,0,5758736,5.904073393883658,0,0
Connecticut,2020-03-11,3,0,0,3565287,0.8414469858948241,0,0
Delaware,2020-03-11,1,0,0,973764,1.0269428732218484,0,0
District of Columbia,2020-03-11,10,0,0,705749,14.169343491807995,0,0
Florida,2020-03-11,28,2,0,21477737,1.3036755222396104,0.09311968015997216,0
Georgia,2020-03-11,23,0,0,10617423,2.1662506994399675,0,0
Hawaii,2020-03-10,2,0,0,1415872,1.4125570673055192,0,0
Idaho,2020-03-10,0,0,0,1787065,0,0,0
Illinois,2020-03-11,25,0,2,12671821,1.9728814035488664,0,0.15783051228390932
Indiana,2020-03-11,11,0,0,6732219,1.633933774287497,0,0
Iowa,2020-03-11,13,0,0,3155070,4.120352321818533,0,0
Kansas,2020-03-10,1,0,0,2913314,0.34325170578935194,0,0
Kentucky,2020-03-11,8,0,0,4467673,1.7906413472964562,0,0
Louisiana,2020-03-11,6,0,0,4648794,1.2906573188659252,0,0
Maine,2020-03-10,0,0,0,1344212,0,0,0
Maryland,2020-03-11,9,0,0,6045680,1.4886662873324423,0,0
Massachusetts,2020-03-11,95,0,1,6892503,13.783091570652925,0,0.14508517442792554
Michigan,2020-03-11,2,0,0,9986857,0.20026320593155583,0,0
Minnesota,2020-03-11,5,0,0,5639632,0.8865826706423398,0,0
Mississippi,2020-03-10,0,0,0,2976149,0,0,0
Missouri,2020-03-10,1,0,0,6137428,0.16293470163723306,0,0
Montana,2020-03-11,1,0,0,1068778,0.9356480017365627,0,0
Nebraska,2020-03-11,5,0,0,1934408,2.584770120884529,0,0
Nevada,2020-03-11,7,0,0,3080156,2.272612166396767,0,0
New Hampshire,2020-03-11,5,0,0,1359711,3.677252004286205,0,0
New Jersey,2020-03-11,23,1,0,8882190,2.5894514753681244,0.11258484675513585,0
New Mexico,2020-03-11,3,0,0,2096829,1.4307318336402253,0,0
New York,2020-03-11,220,0,0,19453561,11.308983481224852,0,0
North Carolina,2020-03-10,7,0,0,10488084,0.6674240976712238,0,0
North Dakota,2020-03-10,0,0,0,762062,0,0,0
Ohio,2020-03-11,4,0,0,11689100,0.3421991427911473,0,0
Oklahoma,2020-03-10,2,0,0,3956971,0.505437113387993,0,0
Oregon,2020-03-11,19,0,0,4217737,4.504785386096857,0,0
Pennsylvania,2020-03-11,16,0,0,12801989,1.2498057918968686,0,0
Rhode Island,2020-03-11,5,0,0,1059361,4.719826385906221,0,0
South Carolina,2020-03-11,10,0,0,5148714,1.942232565258043,0,0
South Dakota,2020-03-11,8,1,0,884659,9.04303240005471,1.1303790500068387,0
Tennessee,2020-03-11,9,0,0,6829174,1.3178753389502156,0,0
Texas,2020-03-11,21,0,0,28995881,0.724240798201648,0,0
Utah,2020-03-11,3,0,0,3205958,0.9357577360651637,0,0
Vermont,2020-03-10,1,0,0,623989,1.602592353390845,0,0
Virginia,2020-03-11,9,0,0,8535519,1.0544174290983361,0,0
Washington,2020-03-11,366,29,1,7614893,48.06370884003229,3.80832665672387,0.13132160885254723
