Province/State,Date,Confirmed,population,Confirmed per million residents
Washington,2020-03-10,267,7614893,35.062869563630116
Washington,2020-03-11,366,7614893,48.06370884003229
Washington,2020-03-12,442,7614893,58.04415111282588
Washington,2020-03-13,568,7614893,74.59067382824684
Washington,2020-03-14,572,7614893,75.11596026365702
Washington,2020-03-15,643,7614893,84.43979449218787
Washington,2020-03-16,904,7614893,118.7147344027027
Washington,2020-03-17,1076,7614893,141.30205112534082
Washington,2020-03-18,1014,7614893,133.1601113764829
Washington,2020-03-19,1376,7614893,180.698533781105
Washington,2020-03-20,1524,7614893,200.13413189128198
New York,2020-03-10,173,19453561,8.89297337387227
New York,2020-03-11,220,19453561,11.308983481224852
New York,2020-03-12,328,19453561,16.86066628109887
New York,2020-03-13,421,19453561,21.64128202543483
New York,2020-03-14,525,19453561,26.98734694383203
New York,2020-03-15,732,19453561,37.62807231025723
New York,2020-03-16,967,19453561,49.70812284702014
New York,2020-03-17,1706,19453561,87.6960264498618
New York,2020-03-18,2495,19453561,128.25415357116364
New York,2020-03-19,5365,19453561,275.7849835307788
New York,2020-03-20,8310,19453561,427.17114876808415
California,2020-03-10,144,39512223,3.644441873088234
California,2020-03-11,177,39512223,4.4796264690042875
California,2020-03-12,221,39512223,5.593205930225692
California,2020-03-13,282,39512223,7.137032001464458
California,2020-03-14,340,39512223,8.60493220034722
California,2020-03-15,426,39512223,10.781473874552692
California,2020-03-16,557,39512223,14.096903634098238
California,2020-03-17,698,39512223,17.665419634830467
California,2020-03-18,751,39512223,19.006776713119887
California,2020-03-19,952,39512223,24.093810160972215
California,2020-03-20,1177,39512223,29.78825058767258
Massachusetts,2020-03-10,92,6892503,13.34783604736915
Massachusetts,2020-03-11,95,6892503,13.783091570652925
Massachusetts,2020-03-12,108,6892503,15.669198838215957
Massachusetts,2020-03-13,123,6892503,17.84547645463484
Massachusetts,2020-03-14,138,6892503,20.021754071053724
Massachusetts,2020-03-15,164,6892503,23.79396860617979
Massachusetts,2020-03-16,197,6892503,28.58177936230133
Massachusetts,2020-03-17,218,6892503,31.628568025287766
Massachusetts,2020-03-18,218,6892503,31.628568025287766
Massachusetts,2020-03-19,328,6892503,47.58793721235958
Massachusetts,2020-03-20,413,6892503,59.92017703873324
Georgia,2020-03-10,17,10617423,1.6011418213251936
Georgia,2020-03-11,23,10617423,2.1662506994399675
Georgia,2020-03-12,31,10617423,2.919729203593
Georgia,2020-03-13,42,10617423,3.955762146803419
Georgia,2020-03-14,66,10617423,6.216197659262516
Georgia,2020-03-15,99,10617423,9.324296488893774
Georgia,2020-03-16,121,10617423,11.396362375314613
Georgia,2020-03-17,146,10617423,13.750982700792838
Georgia,2020-03-18,199,10617423,18.742777790806677
Georgia,2020-03-19,287,10617423,27.03104133649003
Georgia,2020-03-20,420,10617423,39.55762146803419
Colorado,2020-03-10,15,5758736,2.604738262007496
Colorado,2020-03-11,34,5758736,5.904073393883658
Colorado,2020-03-12,45,5758736,7.814214786022489
Colorado,2020-03-13,49,5758736,8.508811655891154
Colorado,2020-03-14,101,5758736,17.53857096418381
Colorado,2020-03-15,131,5758736,22.7480474881988
Colorado,2020-03-16,160,5758736,27.783874794746627
Colorado,2020-03-17,160,5758736,27.783874794746627
Colorado,2020-03-18,184,5758736,31.95145601395862
Colorado,2020-03-19,277,5758736,48.100833238405095
Colorado,2020-03-20,363,5758736,63.034665940581405
Florida,2020-03-10,15,21477737,0.6983976011997912
Florida,2020-03-11,28,21477737,1.3036755222396104
Florida,2020-03-12,35,21477737,1.6295944027995128
Florida,2020-03-13,50,21477737,2.327992003999304
Florida,2020-03-14,76,21477737,3.538547846078942
Florida,2020-03-15,115,21477737,5.354381609198399
Florida,2020-03-16,155,21477737,7.216775212397843
Florida,2020-03-17,216,21477737,10.056925457276993
Florida,2020-03-18,314,21477737,14.619789785115628
Florida,2020-03-19,417,21477737,19.415453313354195
Florida,2020-03-20,563,21477737,26.213189965032164
New Jersey,2020-03-10,15,8882190,1.6887727013270375
New Jersey,2020-03-11,23,8882190,2.5894514753681244
New Jersey,2020-03-12,29,8882190,3.264960555898939
New Jersey,2020-03-13,29,8882190,3.264960555898939
New Jersey,2020-03-14,69,8882190,7.768354426104373
New Jersey,2020-03-15,98,8882190,11.033314982003311
New Jersey,2020-03-16,178,8882190,20.04010272241418
New Jersey,2020-03-17,267,8882190,30.06015408362127
New Jersey,2020-03-18,267,8882190,30.06015408362127
New Jersey,2020-03-19,742,8882190,83.5379562923108
New Jersey,2020-03-20,890,8882190,100.20051361207089
Oregon,2020-03-10,15,4217737,3.5564095153396242
Oregon,2020-03-11,19,4217737,4.504785386096857
Oregon,2020-03-12,24,4217737,5.690255224543399
Oregon,2020-03-13,30,4217737,7.1128190306792485
Oregon,2020-03-14,32,4217737,7.5870069660578645
Oregon,2020-03-15,36,4217737,8.535382836815097
Oregon,2020-03-16,39,4217737,9.246664739883023
Oregon,2020-03-17,66,4217737,15.648201867494345
Oregon,2020-03-18,68,4217737,16.122389802872963
Oregon,2020-03-19,88,4217737,20.864269156659127
Oregon,2020-03-20,114,4217737,27.028712316581142
Texas,2020-03-10,13,28995881,0.44833954174387736
Texas,2020-03-11,21,28995881,0.724240798201648
Texas,2020-03-12,27,28995881,0.9311667405449761
Texas,2020-03-13,43,28995881,1.4829692534605174
Texas,2020-03-14,57,28995881,1.965796452261616
Texas,2020-03-15,72,28995881,2.483111308119936
Texas,2020-03-16,85,28995881,2.9314508498638134
Texas,2020-03-17,110,28995881,3.7936422762943467
Texas,2020-03-18,173,28995881,5.966364670899291
Texas,2020-03-19,260,28995881,8.966790834877546
Texas,2020-03-20,394,28995881,13.588136880545205
Illinois,2020-03-10,12,12671821,0.9469830737034559
Illinois,2020-03-11,25,12671821,1.9728814035488664
Illinois,2020-03-12,32,12671821,2.525288196542549
Illinois,2020-03-13,46,12671821,3.630101782529914
Illinois,2020-03-14,64,12671821,5.050576393085098
Illinois,2020-03-15,93,12671821,7.339118821201783
Illinois,2020-03-16,105,12671821,8.286101894905238
Illinois,2020-03-17,161,12671821,12.7053562388547
Illinois,2020-03-18,162,12671821,12.784271494996654
Illinois,2020-03-19,422,12671821,33.30223809190487
Illinois,2020-03-20,585,12671821,46.165424843043475
Pennsylvania,2020-03-10,12,12801989,0.9373543439226514
Pennsylvania,2020-03-11,16,12801989,1.2498057918968686
Pennsylvania,2020-03-12,22,12801989,1.7184829638581942
Pennsylvania,2020-03-13,41,12801989,3.2026273417357256
Pennsylvania,2020-03-14,47,12801989,3.6713045136970512
Pennsylvania,2020-03-15,66,12801989,5.155448891574583
Pennsylvania,2020-03-16,77,12801989,6.014690373503679
Pennsylvania,2020-03-17,112,12801989,8.74864054327808
Pennsylvania,2020-03-18,152,12801989,11.873155023020251
Pennsylvania,2020-03-19,206,12801989,16.091249570672183
Pennsylvania,2020-03-20,303,12801989,23.66819718404695
Iowa,2020-03-10,8,3155070,2.5356014288114053
Iowa,2020-03-11,13,3155070,4.120352321818533
Iowa,2020-03-12,16,3155070,5.0712028576228105
Iowa,2020-03-13,17,3155070,5.388153036224236
Iowa,2020-03-14,17,3155070,5.388153036224236
Iowa,2020-03-15,18,3155070,5.7051032148256615
Iowa,2020-03-16,23,3155070,7.28985410783279
Iowa,2020-03-17,23,3155070,7.28985410783279
Iowa,2020-03-18,29,3155070,9.191555179441343
Iowa,2020-03-19,44,3155070,13.945807858462729
Iowa,2020-03-20,45,3155070,14.262758037064154
Maryland,2020-03-10,8,6045680,1.323258922073282
Maryland,2020-03-11,9,6045680,1.4886662873324423
Maryland,2020-03-12,12,6045680,1.984888383109923
Maryland,2020-03-13,18,6045680,2.9773325746648847
Maryland,2020-03-14,26,6045680,4.300591496738167
Maryland,2020-03-15,32,6045680,5.293035688293128
Maryland,2020-03-16,41,6045680,6.7817019756255705
Maryland,2020-03-17,60,6045680,9.924441915549616
Maryland,2020-03-18,85,6045680,14.059626047028623
Maryland,2020-03-19,107,6045680,17.698588082730147
Maryland,2020-03-20,149,6045680,24.64569742361488
North Carolina,2020-03-10,7,10488084,0.6674240976712238
North Carolina,2020-03-11,7,10488084,0.6674240976712238
North Carolina,2020-03-12,15,10488084,1.4301944950097654
North Carolina,2020-03-13,17,10488084,1.6208870943444007
North Carolina,2020-03-14,24,10488084,2.2883111920156245
North Carolina,2020-03-15,33,10488084,3.1464278890214836
North Carolina,2020-03-16,38,10488084,3.623159387358072
North Carolina,2020-03-17,64,10488084,6.102163178708333
