Province/State,Date,Recovered,population,Recoveries per million residents
Washington,2020-03-10,1,7614893,0.13132160885254723
Washington,2020-03-11,1,7614893,0.13132160885254723
Washington,2020-03-12,1,7614893,0.13132160885254723
Washington,2020-03-13,1,7614893,0.13132160885254723
Washington,2020-03-14,1,7614893,0.13132160885254723
Washington,2020-03-15,1,7614893,0.13132160885254723
Washington,2020-03-16,1,7614893,0.13132160885254723
Washington,2020-03-17,1,7614893,0.13132160885254723
Washington,2020-03-18,0,7614893,0
Washington,2020-03-19,0,7614893,0
Washington,2020-03-20,0,7614893,0
Washington,2020-03-21,0,7614893,0
Washington,2020-03-22,0,7614893,0
New York,2020-03-10,0,19453561,0
New York,2020-03-11,0,19453561,0
New York,2020-03-12,0,19453561,0
New York,2020-03-13,0,19453561,0
New York,2020-03-14,0,19453561,0
New York,2020-03-15,0,19453561,0
New York,2020-03-16,0,19453561,0
New York,2020-03-17,0,19453561,0
New York,2020-03-18,0,19453561,0
New York,2020-03-19,0,19453561,0
New York,2020-03-20,0,19453561,0
New York,2020-03-21,0,19453561,0
New York,2020-03-22,0,19453561,0
California,2020-03-10,2,39512223,0.050617248237336585
California,2020-03-11,2,39512223,0.050617248237336585
California,2020-03-12,6,39512223,0.15185174471200974
California,2020-03-13,6,39512223,0.15185174471200974
California,2020-03-14,6,39512223,0.15185174471200974
California,2020-03-15,6,39512223,0.15185174471200974
California,2020-03-16,6,39512223,0.15185174471200974
California,2020-03-17,6,39512223,0.15185174471200974
California,2020-03-18,0,39512223,0
California,2020-03-19,0,39512223,0
California,2020-03-20,0,39512223,0
California,2020-03-21,0,39512223,0
California,2020-03-22,0,39512223,0
Massachusetts,2020-03-10,1,6892503,0.14508517442792554
Massachusetts,2020-03-11,1,6892503,0.14508517442792554
Massachusetts,2020-03-12,1,6892503,0.14508517442792554
Massachusetts,2020-03-13,1,6892503,0.14508517442792554
Massachusetts,2020-03-14,1,6892503,0.14508517442792554
Massachusetts,2020-03-15,1,6892503,0.14508517442792554
Massachusetts,2020-03-16,1,6892503,0.14508517442792554
Massachusetts,2020-03-17,1,6892503,0.14508517442792554
Massachusetts,2020-03-18,0,6892503,0
Massachusetts,2020-03-19,0,6892503,0
Massachusetts,2020-03-20,0,6892503,0
Massachusetts,2020-03-21,0,6892503,0
Massachusetts,2020-03-22,0,6892503,0
Georgia,2020-03-10,0,10617423,0
Georgia,2020-03-11,0,10617423,0
Georgia,2020-03-12,0,10617423,0
Georgia,2020-03-13,0,10617423,0
Georgia,2020-03-14,0,10617423,0
Georgia,2020-03-15,0,10617423,0
Georgia,2020-03-16,0,10617423,0
Georgia,2020-03-17,0,10617423,0
Georgia,2020-03-18,0,10617423,0
Georgia,2020-03-19,0,10617423,0
Georgia,2020-03-20,0,10617423,0
Georgia,2020-03-21,0,10617423,0
Georgia,2020-03-22,0,10617423,0
Colorado,2020-03-10,0,5758736,0
Colorado,2020-03-11,0,5758736,0
Colorado,2020-03-12,0,5758736,0
Colorado,2020-03-13,0,5758736,0
Colorado,2020-03-14,0,5758736,0
Colorado,2020-03-15,0,5758736,0
Colorado,2020-03-16,0,5758736,0
Colorado,2020-03-17,0,5758736,0
Colorado,2020-03-18,0,5758736,0
Colorado,2020-03-19,0,5758736,0
Colorado,2020-03-20,0,5758736,0
Colorado,2020-03-21,0,5758736,0
Colorado,2020-03-22,0,5758736,0
Florida,2020-03-10,0,21477737,0
Florida,2020-03-11,0,21477737,0
Florida,2020-03-12,0,21477737,0
Florida,2020-03-13,0,21477737,0
Florida,2020-03-14,0,21477737,0
Florida,2020-03-15,0,21477737,0
Florida,2020-03-16,0,21477737,0
Florida,2020-03-17,0,21477737,0
Florida,2020-03-18,0,21477737,0
Florida,2020-03-19,0,21477737,0
Florida,2020-03-20,0,21477737,0
Florida,2020-03-21,0,21477737,0
Florida,2020-03-22,0,21477737,0
New Jersey,2020-03-10,0,8882190,0
New Jersey,2020-03-11,0,8882190,0
New Jersey,2020-03-12,0,8882190,0
New Jersey,2020-03-13,0,8882190,0
New Jersey,2020-03-14,0,8882190,0
New Jersey,2020-03-15,0,8882190,0
New Jersey,2020-03-16,1,8882190,0.11258484675513585
New Jersey,2020-03-17,1,8882190,0.11258484675513585
New Jersey,2020-03-18,0,8882190,0
New Jersey,2020-03-19,0,8882190,0
New Jersey,2020-03-20,0,8882190,0
New Jersey,2020-03-21,0,8882190,0
New Jersey,2020-03-22,0,8882190,0
Oregon,2020-03-10,0,4217737,0
Oregon,2020-03-11,0,4217737,0
Oregon,2020-03-12,0,4217737,0
Oregon,2020-03-13,0,4217737,0
Oregon,2020-03-14,0,4217737,0
Oregon,2020-03-15,0,4217737,0
Oregon,2020-03-16,0,4217737,0
Oregon,2020-03-17,0,4217737,0
Oregon,2020-03-18,0,4217737,0
Oregon,2020-03-19,0,4217737,0
Oregon,2020-03-20,0,4217737,0
Oregon,2020-03-21,0,4217737,0
Oregon,2020-03-22,0,4217737,0
Texas,2020-03-10,0,28995881,0
Texas,2020-03-11,0,28995881,0
Texas,2020-03-12,0,28995881,0
Texas,2020-03-13,0,28995881,0
Texas,2020-03-14,0,28995881,0
Texas,2020-03-15,0,28995881,0
Texas,2020-03-16,0,28995881,0
Texas,2020-03-17,0,28995881,0
Texas,2020-03-18,0,28995881,0
Texas,2020-03-19,0,28995881,0
Texas,2020-03-20,0,28995881,0
Texas,2020-03-21,0,28995881,0
Texas,2020-03-22,0,28995881,0
Illinois,2020-03-10,2,12671821,0.15783051228390932
Illinois,2020-03-11,2,12671821,0.15783051228390932
Illinois,2020-03-12,2,12671821,0.15783051228390932
Illinois,2020-03-13,2,12671821,0.15783051228390932
Illinois,2020-03-14,2,12671821,0.15783051228390932
Illinois,2020-03-15,2,12671821,0.15783051228390932
Illinois,2020-03-16,2,12671821,0.15783051228390932
Illinois,2020-03-17,2,12671821,0.15783051228390932
Illinois,2020-03-18,0,12671821,0
Illinois,2020-03-19,0,12671821,0
Illinois,2020-03-20,0,12671821,0
Illinois,2020-03-21,0,12671821,0
Illinois,2020-03-22,0,12671821,0
Pennsylvania,2020-03-10,0,12801989,0
Pennsylvania,2020-03-11,0,12801989,0
Pennsylvania,2020-03-12,0,12801989,0
Pennsylvania,2020-03-13,0,12801989,0
Pennsylvania,2020-03-14,0,12801989,0
Pennsylvania,2020-03-15,0,12801989,0
Pennsylvania,2020-03-16,0,12801989,0
Pennsylvania,2020-03-17,0,12801989,0
Pennsylvania,2020-03-18,0,12801989,0
Pennsylvania,2020-03-19,0,12801989,0
Pennsylvania,2020-03-20,0,12801989,0
